msno,city,registered_via,registration_init_time,expiration_date,genre_1,genre_2,genre_repeat_top1,genre_repeat_top2,lang1,lang2,lang_repeat_top1,lang_repeat_top2,artist_name1,artist_name2
AzWRtpW15SXyHSoc03ooyHYxZZlbc3jKgD5QswBS6Oo=,1,7,20150518,20170916,1609,1616,2,1616,52,3,52,NA,Alan Walker,CHARLIE PUTH
bwz+fTFHhvPVRy+sRq1DMVNEavtiyhxSVIzvHr6Il0Q=,5,3,20150916,20170923,465,786,1609,16,-1,3,-1,3,好聽小故事,伊藤佳代
pOldmrJFqYEBWupQVw1ZZaitWcM2vgzZtkSRC8A0MrU=,1,4,20160603,20160606,465,458,465,3,3,NA,3,NA,aMEI (張惠妹),卓文萱 (Genie Zhuo)
W3V5FZXYJx2PCUggs6sEav3IEt8qc7I3koerUmD5sN0=,1,4,20160208,20170708,465,458,1,5,3,52,3,52,林俊傑 (JJ Lin),Jason Chen
WNfCAbvOG/RBNqVmDhv8VUKo4oo7Y74X0uidZW72JnU=,22,9,20070611,20170930,458,465,465,1259,3,31,3,31,BIGBANG,aMEI (張惠妹)
XL9fOaAmdfJV35udH0/W7xjOtu4REE/Iwlks5ycurHo=,15,3,20130407,20171021,465,458,451,458,3,31,3,31,Various Artists,BIGBANG
2ByH1Vd7BiB8nYGClG0juSnBzZ3sJ4W4a2WjedWSOWM=,22,3,20141206,20170813,465,1259,451,465,3,52,3,24,玖壹壹,Under Lover (地下情人)
L43N7ETWKG4p+4KjZ6OheZUJUtfxY+oIDLGP3Hv/NHo=,14,7,20130714,20170911,465,458,921,1011,3,31,3,31,Various Artists,蔡依林 (Jolin Tsai)
er9UcmDARoufKDEoanCFKyU8uro0EVaM23eSAehSs+c=,1,7,20151020,20170919,465,444,1011,2,3,52,3,52,Carly Rae Jepsen,Taylor Swift
uHqAtShXTRXju5GE8ri3ITsVFepPf8jUoCF7ffNOuqE=,15,9,20111107,20180304,465,2022,1011,1616,52,3,52,3,Maroon 5,ONE OK ROCK
YoWQgI2fadjtoh44rN83/77kiP2zxq2/JzbZzn/hwCY=,5,9,20060226,20170707,458,,9,458,3,NA,3,NA,徐佳瑩 (Lala Hsu),
0KZWs+W+Qty/VjnQJO50l4hcEa5aBvew7pzCfHMGrfM=,4,9,20051118,20170402,465,458,1,458,3,17,3,17,五月天 (Mayday),李壽全
7fxXq98BYeINQI/uYqCH0z+oiMz26YqTI21KbCRpxZc=,5,3,20140817,20171004,465,458,921,2058,3,52,3,52,G.E.M.鄧紫棋,周杰倫 (Jay Chou)
wlu0WrTYSRnx36Jex0SCy95+5SKHcpD8Ew3TG8lC/NU=,6,7,20100316,20170919,458,465,1609,2,3,52,3,52,Eric 周興哲,謝和弦 (R-chord)
ULv6aMHgYL9T6R98vOuZROfTnjuLM7Qw1Et0le4Hf8k=,1,7,20161129,20170930,465,458,137,458,3,10,3,10,林慧萍 (Monique Lin),任賢齊 (Richie Jen)
xSFqRzK2vBCY9bwpU7PobpeRBJFosVhI1WFZ4qJw2ao=,8,9,20060702,20170808,465,786,465,1,52,-1,52,NA,Lukas Graham,Rihanna
HtYB4yOum6Ga73vmDhLTcSNbe36/zIBooWiGUFVakEg=,1,7,20110829,20170913,465,458,11,691,52,3,52,3,Madonna,Selena Gomez
0MXdpE9QGej+UldeCesAsgOIedXLP65FDDALMi+S+zg=,1,3,20140320,20170925,465,444,864,109,3,31,3,31,Various Artists,BANGTAN BOYS
ZjY53s4hAtuI99fCkk4qlBOgXzhmWKOwxD9JmjtlAzU=,15,4,20161010,20170916,139,465,139,465,52,3,52,3,AZIATIX,Alan Walker
ZazXaHQ//fIYg+29YARLPoirnyN4Mwn6TDMcBMbjxsE=,1,7,20150103,20171002,465,458,458,119,3,52,3,52,莊心妍,周杰倫 (Jay Chou)
EwVLy2eQQ+9VypYM4r1vbJfRzJwfDf+ukk6/sg/8IWI=,1,7,20160110,20170910,465,458,1609,1,3,52,3,52,Lady Gaga,楊丞琳 (Rainie Yang)
3GgPEEsqwmrOM+CZBPqiFP+k21BKB5vLGZ+iOkTY8Rs=,13,9,20150723,20171024,465,444,109,1,52,3,31,3,Various Artists,Urban Zakapa
NxObdMwkWPWkMwB38jQn/xsPFMG2IQ/GX6+OaFlFkiQ=,5,9,20110226,20170926,465,458,873,921,3,-1,3,17,林宥嘉 (Yoga Lin),陳奕迅 (Eason Chan)
VMoyMMb9Lb329MDb7tksWWMkXxj7OPDF1R247AheIko=,1,7,20151125,20170522,458,921,20,921,3,17,17,3,ジブリサウンドトラック,五月天 (Mayday)
VOChlkyW2oFb1VfOO7KoMXr5V84Rc03QrewAiyEWv20=,1,4,20160410,20160413,465,,3,465,3,NA,3,NA,Bii畢書盡+陳勢安+陳彥允+李玉璽,李榮浩
PpfRnrpPtGpF/WuroXBXYjPhinsxPQ+YBUE6OT81PNg=,1,4,20160204,20170716,921,444,921,1,31,52,31,52,Various Artists,t Yoonmirae
ik+dP9XmiuyBzl5b9mU9kPKglAAQq5VZFDRZmIGVYB0=,5,4,20151213,20170912,465,921,850,125,17,52,17,52,ジブリサウンドトラック,LUNA SEA
mBITVVG7e67+2x6iAlqIYeR4x06JmU1spY2zE2rRclU=,1,7,20110313,20170914,465,458,465,55,3,-1,3,-1,張學友 (Jacky Cheung),王力宏 (Leehom Wang)
OPoH/AFGV+Ee9h+I7u8iaQcAtQ7+LbDmORsMeJntrJA=,1,3,20150612,20170713,465,444,921,2,31,3,31,3,AKDONG MUSICIAN (AKMU),EXO
t8vm3Gr4vn7mI5R4KvgLCGpszgtvKvl91hTnl2zAq7A=,5,3,20141107,20170616,465,458,465,139,3,52,3,NA,蘇打綠 (Sodagreen),八三夭 (The Last Day of Summer 831)
mPLH/EEgV39HRcIy4l60ezzptnY5RdykNbx08r3Yqgk=,1,3,20161206,20161209,458,,458,12,3,NA,3,NA,田亞霍 (Elvis),周杰倫 (Jay Chou)
d+vzmduRJZbkWVqSPpfI+f9tu0nqNiKv5d83fveQHa8=,4,3,20160806,20180602,465,458,1259,1011,3,52,3,52,Various Artists,周杰倫 (Jay Chou)
OY8nHf5TLStttsuwrNQcR/wP2wvyeVpD6/eHh1SlN3E=,5,3,20161026,20171006,465,458,921,19,3,52,3,17,梁靜茹 (Fish Leong),aMEI (張惠妹)
wt4LhyzikzwS2J1I3Cc7nth5yPCk+yZhOYhi/JOLSNk=,1,4,20161212,20161215,465,458,458,465,3,NA,3,NA,周杰倫 (Jay Chou),張宇 (Phil Chang)
gdiJdaFWhrObKEhsZul74QjrmT7g1UO44T0fWhp/jcE=,1,7,20151101,20170930,921,458,3,465,31,3,31,3,Various Artists,楊丞琳 (Rainie Yang)
0gN7VbYwpZAGLzlWgWE3wAQ26XgQ/P5SG3aGIvVCmkw=,22,7,20151110,20170919,465,458,2,1,3,31,3,52,Girls' Generation (少女時代),林俊傑 (JJ Lin)
aI2KG6j7VtG7MFbbmlP/wVSJPykMCTki8YwrenxCrOA=,5,9,20071009,20171001,465,458,2122,2,3,52,3,17,Various Artists,A-Lin
NE+jdORNBYCKR9xo+TNptpDx2TlRajNS46GuTpxPSCw=,13,9,20150512,20170913,465,458,139,921,3,52,3,52,薛凱琪 (Fiona Sit),Dizzy Dizzo
8sEEszoN7JW047C9Qt5XN29r7UJwsb5J6RWTz8gLlqE=,1,7,20130604,20171004,465,458,1011,109,3,52,3,52,林俊傑 (JJ Lin),蘇打綠 (Sodagreen)
5aK/dB0N/7AuXaOmBdXsawoIgJ3I6332BH5tBvChWt4=,11,9,20120627,20171022,465,1259,8,465,3,17,3,NA,玖壹壹,龍飄飄
1yd9fOVZVhdmRiBQSGNNIkt1auPjBJ1nSHWhVHLR9Fg=,13,4,20151107,20170930,465,458,359,1011,52,3,52,3,Various Artists,丁噹 (Della)
H1iLsaODONTbpeZL5ZV/sco341Xf/oCQ1P71tiLO6mQ=,1,7,20120705,20171003,465,458,458,921,3,52,3,52,謝和弦 (R-chord),轟天牛
8zVSqcHNq/TiEhi937MM5tunqE0q/mH+F+mev90qQiw=,1,7,20160205,20171005,458,465,1609,451,3,52,3,31,孫盛希 (Shi Shi),田馥甄 (Hebe)
j99U1/u7dthHsGVBZlmLfWrpLLJbYwoWsK9iLzlgXwE=,1,4,20161215,20170527,458,465,458,4,3,52,3,31,Various Artists,田馥甄 (Hebe)
rjz+4BXypWf6AufCVKB4d/KdKArtRmjLGfzH/vWsLi0=,1,7,20110214,20170908,465,458,24,1,3,52,3,52,Various Artists,Troye Sivan
N/f1wc1zrqkLtVc9YcUdQDDZZXW8KkNDW0rWDBNc4Bs=,22,9,20111214,20170923,465,921,921,465,3,52,3,52,Various Artists,Linkin Park
fxF2rbjGH2b2O0UGcBDeeIkxDJuME+fwm2t5wWMNTnw=,15,9,20131208,20180714,465,444,139,1273,31,3,3,31,Apink,五月天 (Mayday)
1mLIcr3KuTej13nEnSW6pDjXekZvNlsgCs71dZtI1y0=,13,7,20110330,20171005,465,458,458,465,3,31,3,31,蔡依林 (Jolin Tsai),Various Artists
2py1N+YUMs51S5OZ5jCZLSt7kpV/eVoypoROrn7x8Ys=,6,9,20160827,20171014,465,458,5,430,3,52,3,52,Various Artists,田馥甄 (Hebe)
woGSczTyicy0k4RCzyTKxUDR9spumVOEBEZs0fOBmK0=,1,7,20160128,20170930,465,458,451,465,3,52,52,3,KT Tunstall,Sunshine
0X3uXqsjx1zgdf0fWs4yd7ZAleoZxHUxg2fJ7d3oX2Q=,1,7,20130624,20170930,465,921,1180,437,31,52,31,52,Various Artists,Coldplay
PkyjIeI3i6e/DtcQidRqTznpZzCjFvnBltJtA/hYfFM=,18,9,20070517,20161217,465,458,458,465,3,52,3,10,周杰倫 (Jay Chou),Various Artists
U9Gjfr5GWxo6IkFGOeYg4KEjFoeXwYacBoiEkkMlWME=,4,9,20161208,20170927,465,458,458,125,3,52,3,52,Various Artists,Justin Bieber
0rIt30G/o/eE/mAVdMnKmcODrXLbaVVBeAOFaY7Pu/w=,1,4,20170104,20170715,458,921,3,1,3,24,3,24,Various Artists,周杰倫 (Jay Chou)
5coMoK00+Wh758p5608+W8aiXXNiuwmsse6nXjeyMoU=,1,4,20161204,20161207,465,,3,465,3,NA,3,NA,張鳳鳳,鳳飛飛
Lc3yEg7tuWZeTaw6X1XbLL0jlucvqv9Atk1R6nFLQ68=,1,7,20151118,20170917,465,444,691,1259,52,31,31,17,証聲音樂圖書館 ECHO MUSIC,AKDONG MUSICIAN (AKMU)
KGeDdiIUGnenx24WxLDeT4N5npGddZoUxD5Bh31lFZY=,13,9,20110807,20170823,465,2022,25,5,52,17,52,17,RADWIMPS,ClariS
4jyT2zY3wRcHYFODST/9VoRJoz+EhZeu9YzhqVnCvRs=,4,9,20110824,20170926,458,465,1,465,3,52,3,NA,葛仲珊 (MISS KO),動力火車 (Power Station)
NiaGJb+G9n4RHE6nQtkihtJNZFlIRzBHpZWjfSIhBlU=,8,4,20160415,20170921,465,458,864,458,3,52,3,52,莊心妍,楊培安 (Roger Yang)
DqBbZixgLoGAyMLF4/Ut40CY4zRQmdR9bSDhJOrAKTA=,5,9,20111014,20170924,465,444,139,1,31,3,31,52,EXID,Various Artists
JJsP9WrHRNtM5RYNJfmSYinSaZUjyqfMmHD1PcAxWdI=,1,9,20160419,20170913,465,458,437,5,3,52,3,52,李聖傑 (Sam Lee),周杰倫 (Jay Chou)
xiBTKzoxEhPjQdpFljMmpd9pEbc3Bpw07EW/KzLhT+U=,1,4,20170113,20170116,465,451,458,451,3,NA,3,NA,TFBOYS,周杰倫 (Jay Chou)
IdOfvJMfTMfrmM5rt17S33XkNK5K1pB1mx+Rsj0DA2U=,15,3,20130525,20171006,465,458,26,465,3,52,3,31,BANGTAN BOYS,周杰倫 (Jay Chou)
6+t89Efx6Ha5iCzKe7fdY9nNZkuyfIlk1CPhho9hhNk=,14,9,20071115,20180420,465,2122,3,451,52,-1,-1,3,Various Artists,Lisa Ono (小野リサ)
Z4mPl8O9F/Ks5+zPzi7SHjJAmLdluIee1lGJ9QvJaSI=,22,9,20120519,20170907,465,726,2,947,3,-1,3,-1,貴族精選,唱唱跳跳學兒歌系列
Wabygct8P9Kw2RF4ToRHmWCwxq/lhbUqOhDZDKhkAGE=,20,3,20150902,20161219,444,921,1,465,31,NA,31,NA,BLACKPINK,GFRIEND
9hrTF5niZnnVBkXfcQzfzewEIb19UTa7AtM/ydRg53I=,1,7,20131210,20170103,465,458,458,451,3,-1,-1,3,Various Artists,John Barry
ho3RzdagLWE++cUCO4sd6jksHBRnNoi+6h7nIaz1TIE=,1,7,20110105,20170916,465,921,1,54,17,3,3,17,Various Artists,My Love From the Star
/uaQ+Xvexd0YanrKef0B6R5OUtF9kz4iaPiNztWBvt0=,1,7,20170113,20170912,465,458,465,14,3,24,3,24,莊心妍,Ed Sheeran
4nQBOd9prpXa6/GO9xejSfPXQfXF8YNQFBYQEp22XVo=,1,7,20150923,20171003,465,458,2022,1616,3,31,3,31,B1A4,Various Artists
FfEausbckVJLb5/1iDKPsR14PEZluETO9Jyd8x8K9Us=,6,9,20161001,20171003,465,458,1616,1,3,52,3,52,五月天 (Mayday),陳奕迅 (Eason Chan)
Npg+i+NHwgpr5dCJbeaVokSWDn4oEeWSpQPCCF1ccts=,14,9,20130228,20171023,465,458,388,921,3,-1,3,-1,寶寶水晶音樂,李佳薇 (Jess Lee)
ZTvy1MN5I+lfPUzhnVTJg7SuNyzkwKCbo2Oc4gG9S6s=,8,3,20140815,20171002,465,1609,451,437,52,3,52,3,ONE OK ROCK,Jonas Blue
ENCimVR+Shaytww7E6WKblr75wK/S/vBeNAPTar2O2s=,6,9,20080415,20171007,465,444,1,465,31,17,31,52,EXILE,U (城田優)
Cychp8L68FflRldqWf84NAbQAqQcVLcfh1Zub/4DSs8=,13,7,20110304,20171004,465,458,465,458,3,52,3,-1,周杰倫 (Jay Chou),Various Artists
hBna+rngAOpDF97bdir9r6szSxNL+xNXkOorQjJcjjQ=,3,3,20130930,20150815,1609,458,4,1609,3,52,52,3,The Chainsmokers,田馥甄 (Hebe)
U33o7FTjgjWTRy7v0QyCVPbWvxhai+A5t+eGKcaaXX8=,11,3,20130816,20170926,465,921,458,1259,3,52,3,52,Various Artists,周杰倫 (Jay Chou)
sz0lhEn+9kYWYCXJcyWN8k3B1NWHnX4GK9jGUYb0s0M=,1,7,20151018,20170917,465,458,958,1,52,3,52,3,Maroon 5,Various Artists
kEC1Sf7KyCwGaY4m5An79nEzi1YQch3P4P6+dnExA3Y=,15,9,20090204,20161107,458,,458,1,3,NA,3,NA,張智成 (Z-Chen Chang),
bi6B9CUGdMigDv8zM7UyHH27gk7JDyF+uBIUS5OaXFM=,1,4,20161231,20170103,465,1259,1609,1,52,3,52,3,RADWIMPS,Various Artists
mKS6hfIKVZONXJpmT0jEbGo2aLPWhpvwp2x5bLm3AyU=,1,7,20160809,20170908,465,458,1,921,3,10,3,10,五月天 (Mayday),王傑 (Dave Wang)
vrFtEu5nXvsLr2iwcqIGXojgTPsV20kLqUX9N4L4ibA=,13,9,20041218,20170925,465,921,1,465,3,31,3,31,Various Artists,孫盛希 (Shi Shi)
rb72D/aVPsAs37rz6FPP99OoOJ9SvhB3Oa96hjM4Cuo=,13,9,20150114,20170908,465,458,1616,465,52,3,52,3,Ed Sheeran,陳奕迅 (Eason Chan)
DPu2CtO2uSUL5fppUMkzpH5OnaavNpNfdlXkCw5dHls=,13,7,20160221,20170920,465,458,1609,2093,3,52,3,52,V.K,Maroon 5
dlrugx+SK4pvL4wkg783aeoKcZqtd8o/HNo1s0SbhsI=,4,7,20130623,20170923,465,458,1,2,3,31,3,31,S.H.E,蕭敬騰 (Jam Hsiao)
azyoXkWb9rcU+n4bx96h2RQpV5FBWHyE78/znZ5GYGU=,5,9,20150610,20170912,465,458,1180,1616,3,52,3,52,黃鶯鶯 (Tracy Huang),周杰倫 (Jay Chou)
0jd8F/1rQvnnnQSJN5gB31m1aROSxDfK7XEeqeTJeqc=,1,4,20151206,20170809,465,458,105,1609,3,52,3,52,許慧欣 (Evonne Hsu),王詩安 (Diana Wang)
ZDFb6T1z4fgJJ8pQ3qe/43NXfKGOX6QEMcgejf4tkRw=,1,7,20151227,20170911,458,465,13,465,3,17,3,17,周杰倫 (Jay Chou),ジブリサウンドトラック
H0b3IWM8oiDqtLrdQNXIohUtqFZSXjq/ZvHYdKgcg0g=,4,4,20151222,20170107,465,458,458,22,3,-1,3,-1,周杰倫 (Jay Chou),兄弟本色G.U.T.S. (姚中仁、張震嶽、頑童MJ116)
3NH1Z4bjiudGISSgfmNRMKNrEvx6fDZhRiyj71vbOGk=,4,4,20151215,20180317,465,458,1616,921,3,31,3,31,李聖傑 (Sam Lee),藍又時 (Shadya Lan)
L44uPD05aJBXh2nACyDYIJmxtAS9PExvvv3Vl85+5WY=,1,7,20160410,20170910,444,465,14,1609,31,3,31,-1,Various Artists,Yo-Yo Ma
QwFT30VMca3T+E2elmO7iPrUwkbLi6q0Mz22AUpD9Sw=,1,7,20151010,20161223,465,458,30,465,3,52,3,52,五月天 (Mayday),周杰倫 (Jay Chou)
YDVF44mYtXsmmlxthydlJjHKGLQV6YIS5W5TJqLfkzQ=,1,7,20130505,20170713,465,458,1,2,3,52,52,3,周杰倫 (Jay Chou),Kelly Clarkson
DqmjAPxfipuYrDIOnUfY2MM0LGvSuZsikxxXe7ji0IU=,1,9,20140924,20170913,465,458,1616,1616,3,52,3,52,楊丞琳 (Rainie Yang),Various Artists
TpqAiDmdecPbRLFLQ/VN7C6MD/DKviHLiO4zTE8nOKs=,1,7,20111216,20170921,465,458,3,921,3,52,3,24,Various Artists,陳奕迅 (Eason Chan)
ICz6/8FDBpINju767MIE2442HSv+ZXLBaHZ4q7AaZL0=,17,9,20141128,20170304,465,458,2022,1609,3,52,3,52,周杰倫 (Jay Chou),頑童MJ116
OcoOmlNgiP4WmzQKxW2wvvJI/mPKdzQzuJwejkSswPk=,1,9,20150618,20170927,465,458,458,8,3,52,3,52,MP魔幻力量 (Magic Power),五月天 (Mayday)
eVm8fPAAIBD/vdUCJoEnKfKj/SA+VOQAUy2Uhj7IYNE=,13,4,20160922,20170925,465,458,359,1011,3,52,3,52,五月天 (Mayday),Alice In Wonderland
7S/jEPMZNIEGgbrLycpDCP+fH8eVF2eBIklH7b9L4iY=,1,7,20100728,20170916,465,458,1,12,3,17,3,17,陳奕迅 (Eason Chan),蘇打綠 (Sodagreen)
GJCt2oow5WTWic1X+lF/T6/ppvWX4o1EfLoJsZ23yQA=,1,4,20160624,20170812,458,465,1609,458,3,52,3,52,Alan Walker,Eric 周興哲
JGkmdNK3J94u9RNikKNBNmW6cifEMdhXnKV4ZIl7mvs=,1,7,20140912,20170916,465,458,1011,2022,3,52,3,52,周杰倫 (Jay Chou),五月天 (Mayday)
xdft2PbLtMHHg5dHdmj6tlOEO4uu4FR0zJs6XKkLTQg=,13,9,20051027,20171209,465,458,940,1259,3,52,3,52,Various Artists,Lady Gaga
8i7VNoTVP5h2tCbl3UQWVLLhUP0vpFrbM8JsefxDpnQ=,1,7,20101217,20171007,465,458,2,465,3,10,3,10,陳奕迅 (Eason Chan),Eric 周興哲
xeumZ9l6F61A8SJW2UndfNhb8EnxB6nje4emAcV9UEc=,1,7,20121216,20170911,465,458,465,6,3,10,3,NA,萬芳,A-Lin
DVP7Tuk4tYp4n7vWn6yFKqa6IKdR7uLY2kb5RirHa6o=,22,4,20160609,20180310,465,458,458,1259,3,10,3,10,林俊傑 (JJ Lin),周杰倫 (Jay Chou)
9m7WwdATRyNPfl6Nm3hNolRwFSyccUrjbz89L1oZihg=,1,7,20151228,20170921,458,465,458,1609,3,52,3,52,孫盛希 (Shi Shi),Alex Goot feat. Kurt Schneider & Chrissy Costanza
2djzicDDBTko3X1BdlJ5hDQyxTwQbexIB+mANJLyyH4=,1,7,20160129,20170829,465,1011,3,850,52,3,52,-1,Taylor Swift,Katy Perry
IVKHDb8k2xN+BzTcDaPh10uwFjadlbqWaU5WkKi0zyk=,5,9,20070914,20170925,465,444,139,1616,31,3,31,3,BANGTAN BOYS,Various Artists
yVTOPRAgHe+IcHez3t+k+e7bIqR7rDMl70Ir7TbOqac=,4,4,20160605,20170927,465,458,1180,465,3,52,3,52,Various Artists,五月天 (Mayday)
zH1EHu9SP6rbnJR+yQO9iiahu7UNcUoEGb6yCc9nJ/c=,1,4,20160425,20160428,465,1259,3,1,3,52,3,NA,玖壹壹,Alan Walker
RhPnFPLNHFRC+O3JSfWA+sca3fUYErhB7cKtUk8EyJQ=,1,4,20151228,20170709,921,359,921,465,52,NA,52,NA,Various Artists,Coldplay
cOrCrX1TBGdZXYAn98mr/R03pfLFgIHh0v4Esv1fEiY=,13,9,20080126,20170915,465,921,458,1,3,52,3,-1,五月天 (Mayday),ジブリサウンドトラック
