,ID,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
60,11141,324840,111314,127891,1043,211876,317609,172586,341616,54929,109179
61,11317,217268,65103,185063,139796,201992,128415,7560,341616,241680,53586
62,11458,0,10,20,30,40,50,60,70,80,90
63,11748,0,10,20,30,40,50,60,70,80,90
64,11858,138176,270092,95963,240051,170774,16097,13591,223405,259721,187051
65,12027,6167,73335,17735,162278,306423,127987,160690,47674,118844,351512
66,12046,106242,218816,277079,247365,2315,122082,129263,14645,245455,3934
67,12799,306220,111314,127891,104334,48128,262894,316865,198182,284220,44440
68,12940,308709,19682,115611,105092,27273,165587,134648,257230,272016,209984
69,13285,289109,259252,281810,317609,20789,61212,66814,47593,212435,137582
70,13289,4487,35059,254922,171219,22005,89449,252643,35866,112117,176962
71,13623,220040,182831,209432,141018,1934,164014,198182,322793,250992,86303
72,13832,162278,351512,175213,218268,47674,292547,256621,340347,233204,141268
73,13840,122874,24404,304426,34786,39542,9968,25816,259296,291390,283243
74,14450,179023,60458,49821,161358,334306,153167,281954,150974,281108,224600
75,14570,0,10,20,30,40,50,60,70,80,90
76,14832,72385,220040,218816,29011,278191,68578,232420,238234,78207,246635
77,15447,1,11,31,41,51,61,71,81,91,111
78,15619,306220,204064,236840,104334,251129,341783,332686,173875,284538,198182
79,15727,25816,278829,217460,196672,228122,259296,205742,293365,348165,73335
80,15790,0,10,20,30,40,50,60,70,80,90
81,15846,17735,6167,68498,333937,248072,318328,192028,200810,125013,31080
82,15957,15130,159345,29350,329710,184731,196475,333674,91142,274928,91708
83,16339,60458,56607,150974,340515,200825,11493,129201,197394,257494,31951
84,16386,306220,256621,162278,175213,233204,232751,340347,259179,46997,134771
85,16503,148173,318328,325793,292628,274764,225931,292355,200810,246252,155296
86,16574,87937,80677,214178,270092,202557,134812,91418,269916,247676,237609
87,16861,18255,76568,226314,239363,225059,142281,325036,72385,91142,65103
88,17389,218816,72385,185966,52617,154462,212417,225441,145710,279411,34036
89,17420,0,10,20,30,40,50,60,70,80,90
90,17679,14393,251129,220040,284220,139617,63247,204064,24216,198182,304068
91,17753,306220,95963,208925,347361,223405,203814,127694,290214,7581,74488
92,18024,254922,311238,231611,290945,231269,127668,339991,214462,299381,4487
93,18051,171235,141360,212611,47318,281892,281810,192469,91418,181544,134182
94,18498,72385,162278,2822,239363,152849,340347,67766,8677,198182,195289
95,18654,17735,351512,162278,247236,345690,127987,64566,325793,80672,246252
96,18800,218268,69465,259179,162278,141268,342124,15288,141778,6167,256621
97,18866,141268,162278,218268,219078,182618,342124,345690,237746,262894,351512
98,18911,217277,106385,60976,250992,348165,112876,93555,261947,280501,209733
99,18944,137983,350010,74205,150836,111314,127891,11493,34786,302668,290069
100,18979,47674,245074,162278,212601,339991,279825,41994,61209,257494,17093
101,19079,35059,259296,314423,336913,131240,127987,122874,24404,348165,273906
102,19204,238483,8908,4487,112117,310539,126632,306388,117056,68015,85492
103,19530,200810,217353,345894,280336,245893,84015,108869,50991,263292,14759
104,19553,120708,66325,307661,271615,203582,200825,46997,336040,211825,214462
105,19984,284220,160125,306220,311887,350010,51124,302843,204064,35864,179341
106,20135,162278,15288,342124,326191,15651,141268,72385,218268,314012,320250
107,20382,122874,304426,348165,24404,306388,289109,34981,299399,66325,307661
108,20497,251234,60458,346083,150974,101308,175540,278191,302224,273351,16097
109,20683,25816,34786,136257,174228,58952,259368,26877,32156,146678,105650
110,20735,306220,127891,111314,324840,104334,262894,181518,48128,17784,136851
111,20924,225135,53602,78426,257933,8362,241699,218426,13591,165179,302590
112,21220,123358,10225,220324,9296,304923,218107,328805,47543,13307,195872
113,21700,299381,350010,292900,182618,162278,17735,132917,303907,259296,141268
114,22097,159454,245875,350010,43020,342344,279953,202831,132917,292900,262301
115,22223,15130,68578,325036,83738,21927,141268,116683,111314,127891,272703
116,22346,0,10,20,30,40,50,60,70,80,90
117,22373,306220,141268,263285,262894,324840,17735,144006,6167,111314,127891
118,22521,251129,162278,220040,326191,139617,14393,187738,15130,284220,110072
119,23015,262894,200825,162278,225359,120708,181667,251861,2800,87594,159672
120,23271,87594,311238,284220,244419,160125,78660,41501,179341,223405,120708
121,23336,14393,292900,299381,278191,21914,299399,34758,284220,167358,259296
122,23364,68578,292900,284220,220040,72385,278191,127891,111314,162278,21927
123,23571,15130,116683,281810,195341,141268,325036,83738,73596,99696,69465
124,24171,284220,292900,68578,160125,350010,127891,111314,220040,137983,271794
125,24347,200810,306220,290739,209432,326965,66325,307661,203582,271615,198182
126,24354,306220,262894,127891,111314,198182,284220,292900,259757,290069,66325
127,24663,306220,162278,15288,340347,198182,347361,284220,150811,239363,228122
128,25462,0,10,20,30,40,50,60,70,80,90
129,25517,302374,109124,42582,260004,29650,139836,3220,290291,100561,24954
130,25591,203582,307661,66325,271615,262894,277450,127694,290214,7581,74488
131,26087,0,10,20,30,40,50,60,70,80,90
132,26425,35059,34981,340347,259252,162278,8677,127790,155296,148552,314423
133,26583,302224,273351,251234,296041,68578,151754,14934,41444,119501,16097
134,26623,350010,211876,263285,340265,127987,231269,225552,305515,341672,44307
135,26706,218816,183870,277450,32156,20273,78588,36700,237275,319339,262894
136,26708,328423,112967,165587,159682,13494,294861,188266,300317,59370,285891
137,26755,60458,211825,302224,273351,46997,31951,36116,137983,11493,91396
138,27484,109124,24954,100561,3220,290291,325359,177110,45545,29650,299399
139,27760,306220,262894,198182,162278,315589,152849,150811,340347,228122,158386
140,27974,350010,137983,292900,284220,211825,203582,307661,66325,271615,262894
141,28024,340347,155296,35059,259252,162278,82088,158386,214462,259179,34981
142,28088,262894,306220,39904,127891,111314,198182,259296,271615,66325,203582
143,28124,67972,119332,114210,41994,60458,159002,84235,168408,127304,283243
144,28146,302843,289109,66325,203582,271615,307661,198182,174599,284220,303545
145,28170,15288,72385,62198,68578,218816,352357,162278,106242,284220,306220
146,28577,262894,162278,6167,141268,17735,207231,142402,317609,306423,66798
147,28664,0,10,20,30,40,50,60,70,80,90
148,28759,199629,61212,330482,160125,203781,337098,171246,266472,44043,251129
149,28836,4487,52617,112117,307661,66325,203582,271615,306388,258928,117056
150,29054,263285,205742,42236,306423,324840,226710,144006,160359,118937,32314
151,29194,297388,78362,71389,302374,251129,124285,168071,113733,160501,91418
152,29228,340347,74531,60458,228122,148625,92426,16097,344325,240490,264691
153,29285,270092,247822,195353,348640,41444,275655,191054,145826,288888,16097
154,29601,16097,278191,174599,311238,240490,167358,14393,95963,24216,296436
155,29719,262894,306220,46429,217460,148173,263292,150811,135897,39904,200810
156,29744,162278,15288,141268,351512,187738,340347,326191,218268,88367,198182
157,29814,51878,292446,179023,40857,105092,123358,72593,123573,153167,106448
158,29834,90994,337832,193299,87937,84762,334680,168071,158178,329001,220076
159,29894,48128,225059,316865,104334,295304,21193,206376,271186,306220,257230
160,29993,208925,307179,161700,90148,263607,345832,64644,66325,203582,307661
161,30361,266472,98702,35059,145934,268011,264691,29314,8288,272557,167038
162,30654,162278,47593,212435,137983,247365,8677,83065,259252,4487,278191
163,243,48300,48310,48340,48350,48360,48370,48390,48400,48410,48420
164,392,306220,306423,105092,262894,2800,317609,341616,319241,324840,99696
165,540,245875,159454,220040,262301,322793,249657,336811,132917,292900,164014
166,623,66814,71255,187880,171219,1934,39121,122874,131240,304426,276481
167,737,259296,25816,122874,9968,348165,34758,104125,156354,135576,198081
168,858,217353,352092,345894,81412,245893,200810,167441,266989,20273,317053
169,897,9968,325036,34786,324491,241218,165587,25816,120108,155385,111314
170,1025,60458,192469,150974,241150,300427,25579,329290,89885,69127,95632
171,1084,159454,29011,326191,238234,214664,159105,56430,69643,31848,206929
172,1127,72385,68578,29011,347361,306220,284220,16097,320808,68365,206929
173,1395,0,10,20,30,40,50,60,70,80,90
174,1460,60868,104334,48128,18612,254270,93167,165368,195779,301251,33700
175,1483,0,10,20,30,40,50,60,70,80,90
176,1507,35059,4487,222959,66471,245875,8029,102374,24733,221086,248657
177,1522,35059,8677,259252,170399,109655,321563,148552,155296,34981,272557
178,1721,284220,350010,292900,220040,137983,160125,159454,290792,68578,204064
179,1896,200810,8089,262894,263292,306220,329621,150811,8364,347361,215159
180,1990,200810,76233,96994,212582,227145,318173,31080,183960,75047,266850
181,2235,204064,270269,122082,31236,304068,311860,254377,136851,286887,287840
182,2387,109124,342712,29650,100561,290291,24954,3220,325359,42582,238221
183,2563,219803,333204,322689,297770,87117,94862,282401,316877,36394,44440
184,2580,122874,304426,24404,348165,34981,198182,1934,39542,220040,218022
185,2811,350010,292900,284220,299381,137983,228238,160125,303907,75047,41501
186,2999,344513,302224,273351,151754,77490,296041,5257,206088,14890,91396
187,3179,0,10,20,30,40,50,60,70,80,90
188,3226,2822,48128,155784,288116,152849,351512,29350,72385,45323,154999
189,3475,120108,9968,241218,294115,24957,327510,204750,182440,112961,25816
190,3698,162278,6167,17735,131240,305493,336913,314423,187738,262894,299381
191,4158,72385,200810,262894,203582,66325,307661,271615,198182,277450,264419
192,4161,0,10,20,30,40,50,60,70,80,90
193,4190,240490,24404,67972,259252,20789,228122,87746,340347,289109,114210
194,4219,159454,165179,254923,217353,20529,346893,31848,257933,244264,18298
195,4929,144006,324840,105092,75828,40857,104334,218250,2802,181518,27273
196,5614,204064,306220,14393,284220,251129,44440,149604,198182,220040,87117
197,6393,111314,127891,200810,292900,227145,78207,155006,141268,91136,60100
198,6623,0,10,20,30,40,50,60,70,80,90
199,6773,245875,259344,20755,225193,249294,139781,249085,210864,141977,242761
200,7168,1,11,31,41,51,61,71,81,91,111
201,7417,292900,159454,162278,350010,262894,252643,132917,241699,20529,75047
202,8105,70624,306423,145534,317609,106242,135506,324840,17784,40857,86741
203,8803,204064,300982,95352,134648,213864,139454,202771,211639,19682,173875
204,8928,144006,259368,159682,155079,131540,2802,67471,34786,25816,228112
205,8932,127891,111314,306220,208925,150836,262894,165989,284220,302843,66325
206,9182,281810,340040,219709,258172,51124,171235,263285,48254,341616,212611
207,9879,159454,290291,24954,100561,3220,325359,339501,179341,284220,257238
208,10081,340347,162278,240490,239363,47593,212435,24404,259252,256721,278191
209,10121,350010,279953,78207,65820,132917,259296,32156,124441,203037,74205
210,10230,72385,145826,198182,142104,340347,129143,302374,270092,300209,314012
211,10462,306220,284220,162278,103127,98702,62198,352357,131240,198182,120708
212,10703,200810,306220,333937,165368,20126,48128,17735,309674,127891,111314
213,10914,148625,226314,293868,119440,325036,180720,28367,14934,111248,232583
214,11280,72385,198182,68578,209432,259344,307661,271615,66325,203582,83983
215,11316,328423,252837,117766,332920,295593,245074,19037,77857,188528,351512
216,11500,155296,35059,162278,159454,8677,222895,83065,131545,252260,4487
217,11710,137983,306220,262894,46997,24404,284220,108773,151314,127891,111314
218,12006,228122,240490,293365,196672,278829,24404,300643,152849,177104,306220
219,12367,221893,260766,254922,257377,335408,37836,105443,317053,346083,97961
220,12471,281051,187267,264468,52633,187639,179522,53965,212772,156324,179023
221,12611,328441,52617,200825,154462,327162,216767,342136,34215,199530,8858
222,12626,278191,337635,306388,91708,254922,16097,346083,299399,285659,72385
223,12715,72385,112598,29011,142104,53409,238234,200810,195353,9329,218816
224,13261,238234,252769,212486,214664,325130,225908,182189,118829,152778,303493
225,13622,0,10,20,30,40,50,60,70,80,90
226,14075,304146,61209,313669,52633,5257,87594,284726,33813,161358,333902
227,14148,1,11,31,41,51,61,71,81,91,111
228,14423,218816,307661,271615,66325,203582,278191,72385,258928,232420,306388
229,14465,38043,20789,6858,74078,340347,251129,306220,98702,259179,302464
230,14514,311949,277054,350010,78207,138595,340265,125415,344243,74843,240351
231,14536,348165,66325,203582,271615,307661,98702,24404,131240,122874,314423
232,14876,306220,162278,262894,198182,351512,24404,152849,200293,228122,187738
233,15003,283942,281051,161683,189095,141778,267135,106242,48221,206376,49821
234,15004,306423,306220,6167,17735,324840,70624,181518,196855,129778,104334
235,15100,306220,266178,161683,233204,137062,175213,256621,69465,332686,104334
236,15254,306220,200810,17735,262894,198182,8089,135897,333937,306423,278829
237,15538,127891,111314,227145,31080,241218,244082,265032,333790,324491,60868
238,15967,58146,164261,141778,225059,108361,189095,226178,259891,48221,131349
239,16500,198182,209432,271615,307661,203582,66325,220040,1934,348165,72385
240,16916,306220,198182,162278,351512,152849,262894,24404,15288,315589,236840
241,17172,120708,271615,203582,66325,307661,98702,229700,189423,223405,34678
242,17607,281051,327913,229700,158557,120708,283942,23916,161683,159252,218042
243,17688,165179,111314,127891,257933,145100,254923,336469,47628,207871,75047
244,18161,99696,218268,95963,347361,141268,15288,262894,306220,68578,162278
245,18201,35059,10299,323443,288148,75359,133130,340265,298268,322793,282988
246,18218,60458,150974,106242,151314,16097,37723,174636,164379,292414,120708
247,18282,155296,219659,34981,17735,259252,183504,304426,307044,170399,131545
248,18467,281810,339991,13358,175568,172179,167645,315466,66080,23297,16843
249,18479,204064,63247,351953,251129,55923,68889,92658,71389,44150,72125
250,18595,14393,198182,251129,304068,204064,284220,63247,24216,341616,220040
251,18902,0,10,20,30,40,50,60,70,80,90
252,18956,209432,220040,348165,72385,198182,161921,29011,259344,66325,203582
253,19200,251708,252643,96994,54326,200810,301178,75047,181498,262894,279953
254,19206,281810,341616,317609,324840,172586,201699,16986,221787,306423,311432
255,19325,72385,225059,270045,16097,347361,95963,231683,57773,245437,68578
256,19351,252837,5257,350010,311860,137983,151200,220040,340265,346282,284220
257,19499,0,10,20,30,40,50,60,70,80,90
258,19614,238483,12638,4487,214081,132119,350269,6926,161700,92844,112117
259,19669,232751,217586,219426,252769,44150,351953,175213,96852,56430,319835
260,19758,251129,219659,259252,272557,259179,22509,275519,62198,74078,46997
261,19873,0,10,20,30,40,50,60,70,80,90
262,19878,290739,209432,1934,103427,206460,160382,141901,26080,75707,326965
263,19886,260766,221893,34758,337635,202681,97408,277450,336990,204750,257377
264,19962,162278,252837,281810,299381,81783,182618,305515,234989,66798,221806
265,20268,48128,112836,299872,67298,301251,26324,104334,301745,231220,139454
266,20396,221062,301890,132917,340265,180416,259296,305910,93950,318328,23721
267,20596,60458,85925,346083,253450,217405,16097,72385,206044,42582,54331
268,20928,35355,25816,348866,190820,144584,147164,159682,239821,13660,90380
269,21116,239363,306220,259179,106242,225059,148625,69465,62100,147505,15288
270,21558,16097,87594,41444,190246,162278,278191,92386,68578,167358,340347
271,21598,256621,44313,82088,20505,292547,33016,340347,250342,114210,330636
272,21715,306220,262894,200810,329621,61889,74488,290214,7581,127694,6990
273,21859,60458,330486,174636,305463,326098,226178,210615,263338,297966,289109
274,22004,72385,218816,68578,203582,307661,271615,66325,97408,85492,278191
275,22021,284220,292900,350010,160125,68578,137983,159454,77490,219709,257933
276,22188,200810,15130,342124,320250,60100,299260,149694,192028,313237,141268
277,22412,34786,278191,218816,137983,106242,252837,72385,111314,127891,107854
278,22555,155296,258207,162188,158386,17735,6167,282063,219659,183504,131545
279,22970,322793,238483,142859,29336,220040,24216,282972,337881,168588,109124
280,22990,3604,220040,292900,164014,146355,350010,101191,54298,284220,110701
281,23136,321275,159682,327510,59370,282205,257230,93160,155378,242418,125218
282,23455,15130,69465,67471,141268,15288,218268,99696,320250,83738,287483
283,23523,306220,306423,317277,104723,17735,222817,38871,48128,261867,198182
284,23607,165240,69127,182545,34758,246325,127344,260766,114478,113366,221893
285,23706,292900,257933,164014,200810,350010,284220,75047,220040,127891,111314
286,23709,0,10,20,30,40,50,60,70,80,90
287,23727,299381,339991,188827,34758,350010,292900,257933,281810,41501,192944
288,24355,225135,200825,262894,241699,257933,252643,53602,139611,78426,339991
289,24728,159682,275628,165587,327975,308709,75226,186785,115437,208632,2793
290,24873,306220,262894,200810,127891,111314,198182,66325,307661,203582,271615
291,24985,29011,292900,78207,284220,137983,62198,306220,350010,159105,259757
292,25227,221062,7082,156936,17029,186101,226710,294020,245823,282344,42236
293,25283,218816,112836,10167,114001,99301,61889,282502,25688,225441,182440
294,25895,306220,262894,306423,198182,317609,324840,127891,111314,341616,159672
295,26200,120108,9968,112961,252837,326693,225475,130954,314067,325036,25816
296,26544,60458,150974,174636,67972,115149,266472,264691,291665,38043,89885
297,26699,25816,259296,14393,292900,340265,301890,299381,350010,187738,284220
298,26767,278829,266395,137062,87528,348165,38871,218022,228122,236840,286013
299,26787,180388,146355,220040,258555,241218,120108,115599,321565,112961,155006
300,26801,16097,41444,206044,241443,54331,195353,253305,328979,159016,276566
301,26936,220040,24029,302374,250992,14393,35034,47848,112876,174957,63247
302,27118,325036,307231,311860,304068,136851,324840,252837,293868,167291,81864
303,27129,0,10,20,30,40,50,60,70,80,90
304,27261,281810,31080,29350,141268,15130,227145,262894,32681,139611,155958
305,27888,306220,284220,68578,204064,25468,111314,127891,141268,292900,257230
306,28298,336266,150549,207437,204064,206088,122082,220040,139454,26324,142337
307,28883,162278,262894,306220,198182,239363,15288,72385,200293,152849,24404
308,29058,0,10,20,30,40,50,60,70,80,90
309,29075,0,10,20,30,40,50,60,70,80,90
310,29595,479,195289,236553,90458,25948,245437,303493,47643,106169,201429
311,29827,68578,115437,127972,227145,127891,111314,165179,145100,7713,235542
312,29950,307179,311301,204104,309756,325068,156021,48877,78757,345832,99249
313,30183,220040,114001,288148,129263,206088,29011,78207,142244,247365,238234
314,31,254922,252643,132917,4487,259687,30566,176962,159345,288787,279953
315,516,57773,155378,34786,327510,219078,245437,4808,201932,321275,164484
316,1139,34758,54326,317053,323873,221893,147164,217460,108527,254922,182545
317,1143,114001,139124,280501,167671,220040,196546,40348,74531,213295,247365
318,1270,348165,200810,198182,240371,129143,326191,14759,72385,249337,155296
319,1303,227145,291973,127891,111314,31080,324491,97408,145100,325036,29350
320,1322,72385,34786,86244,48128,122874,278191,25816,120108,101627,9968
321,1339,60458,122874,150974,240490,24404,264691,39542,201078,310412,87746
322,1352,142104,288291,90154,312737,226178,77389,25468,148889,236126,76014
323,1618,15130,14393,252434,287483,343711,67471,3220,100561,290291,24954
324,1650,55848,288148,179377,292628,150394,142244,143754,138228,8677,114001
325,1699,162278,340347,8677,34981,24404,259252,15288,351512,47593,212435
326,1903,75047,200810,257933,127891,111314,227145,165179,279953,292900,350010
327,2393,262894,162278,218268,155296,8089,158386,142402,46429,2344,200810
328,2572,162278,137983,15288,278191,284220,68578,24404,200293,106242,252837
329,2711,71389,134215,193299,297388,220076,24029,124285,325518,161912,80891
330,2776,137983,34786,252837,278191,151792,5257,105650,302668,74205,32156
331,2821,159947,106242,186785,68370,137983,104334,315818,252837,74205,190394
332,2996,35059,122874,20002,74364,126015,224340,182189,254922,34036,240661
333,3000,0,10,20,30,40,50,60,70,80,90
334,3213,14393,284220,131240,198182,44440,299381,33901,292900,293365,259296
335,3352,159682,67471,243264,194441,165587,21655,59370,327510,308709,271020
336,3488,15130,180388,196475,220040,232458,177328,296606,184731,94546,329710
337,3704,259296,66325,307661,271615,203582,9968,122874,304426,184261,25816
338,3761,220040,139124,122874,319173,307174,218022,1934,122082,68879,112961
339,4391,0,10,20,30,40,50,60,70,80,90
340,4489,350010,279953,75047,211876,352277,103697,292900,165179,157436,299245
341,5071,340347,162278,228122,306220,262894,315589,152849,259179,198182,261160
342,5117,200810,31080,108035,161812,32156,263285,218268,26033,8089,217460
343,5287,44440,284220,227368,350010,290069,293915,292900,137983,14393,259757
344,5345,151754,273351,302224,344513,296041,251234,91396,93335,77490,156623
345,5984,238234,341669,218816,72385,199331,112598,78207,214664,36700,214352
346,6266,72385,218816,112836,68578,67766,106242,247365,249164,266502,277079
347,6482,350010,284220,292900,220040,160125,257238,137983,77490,69404,54298
348,6559,9968,241218,120108,321565,325036,25816,112961,284139,34524,227145
349,6622,262894,306220,127891,111314,48128,162278,198182,218816,141268,137983
350,6825,72385,328423,133638,129263,39715,238234,15288,9475,114001,277079
351,7281,247236,66814,325793,17735,23721,64566,80672,35059,103480,148173
352,7387,66814,71255,131240,187880,289109,259252,198182,64352,336913,314423
353,7850,78207,127891,111314,220040,292900,218816,306220,48128,20126,137983
354,7879,0,10,20,30,40,50,60,70,80,90
355,8222,218816,60828,217172,315818,145534,144071,99301,106242,19818,138534
356,8257,60458,150974,249164,225059,72385,231683,343846,256698,209243,254027
357,8407,0,10,20,30,40,50,60,70,80,90
358,8924,14393,284220,199629,220040,5257,35177,32217,282763,128930,139617
359,9162,278191,337635,277450,16097,72385,68578,262894,218816,111314,127891
360,9383,0,10,20,30,40,50,60,70,80,90
361,9454,204064,53818,171730,67471,351953,333363,69465,209984,39255,322689
362,9517,72385,278191,203582,271615,307661,66325,198182,122874,18255,296436
363,9558,200810,208882,155006,284003,140124,91136,229247,333937,292383,20126
364,10708,17735,137062,821,306220,202218,183504,256621,69465,100775,306423
365,10798,259368,34786,278829,136257,245437,300643,5715,177104,26877,226474
366,10862,254377,87528,137062,253564,38871,821,226710,160501,306220,78362
367,11025,165179,179341,350010,75047,257933,254923,308709,149356,91136,299716
368,11393,162278,65820,262894,345690,25816,32156,127987,339991,148173,234801
369,11639,20445,15130,326299,13086,340347,300209,198182,320321,91418,341616
370,11800,338895,210440,349168,60458,66798,237746,317317,304426,92782,294536
371,11936,306423,281810,317609,263285,6167,41676,17735,168986,121696,146799
372,12139,201429,2822,29214,61889,238234,100797,81412,212733,319591,113047
373,12393,0,10,20,30,40,50,60,70,80,90
374,12998,263285,182618,147164,299381,350651,47543,279631,239037,271815,119736
375,13009,303493,163881,182189,320280,20273,201429,86244,101627,172758,343436
376,13060,0,10,20,30,40,50,60,70,80,90
377,13207,302843,65800,301383,90662,44043,24216,160125,342252,271794,130618
378,13483,120708,240490,87594,38043,284220,257241,174636,175483,20789,259179
379,13601,72385,162278,16097,340347,15288,8677,278191,68578,155296,261160
380,13648,311585,49277,282450,302374,142281,109562,4968,177843,242468,117117
381,13875,111314,127891,145100,98916,244082,346249,47628,130854,302843,211876
382,13910,218816,137983,302224,273351,17116,247365,350010,68578,251234,278191
383,14289,325036,144006,136851,104334,82949,182515,307231,324840,252837,12613
384,14324,262894,337635,111314,127891,66325,203582,307661,271615,200825,97408
385,14377,262894,218268,8089,306220,215159,141268,135897,99696,200810,32156
386,14420,94470,217586,322689,49340,227368,128763,310981,351953,252667,178546
387,14714,75828,127304,310412,193904,168321,92853,329488,60015,219709,331629
388,14837,72385,125218,192470,267491,95963,155378,278829,93160,109133,296436
389,14997,60458,270045,95963,64644,150974,231683,339559,92580,68578,28698
390,15162,179341,77490,338272,88165,337881,322689,93335,253982,128763,344513
391,15173,63247,14393,251129,302374,47318,139617,135692,220040,180388,204064
392,15207,221893,277450,260766,57773,155385,69797,257377,223958,163465,28698
393,15296,259368,141268,144006,69465,195872,218268,67471,278829,306220,173209
394,15655,60458,150974,67972,278043,120733,247826,228122,241680,122874,92853
395,15738,281668,252769,9792,288148,54331,112470,268011,190836,14890,214664
396,16283,162278,196855,46997,262894,137983,212435,47593,106242,240490,239363
397,16534,0,10,20,30,40,50,60,70,80,90
398,16680,0,10,20,30,40,50,60,70,80,90
399,16791,17735,6167,89928,67712,245074,93006,175213,233204,162278,66814
400,16924,257933,145826,262894,8362,78426,332246,225135,302590,252643,218426
401,17008,296606,252837,58680,68578,15130,67471,308709,39255,159682,151792
402,17028,352092,109124,240661,268979,74364,106385,224340,23905,277975,91708
403,17044,241443,238483,170944,178792,112117,88862,269607,32451,293366,176266
404,17077,162278,239363,15288,340347,72385,152849,67766,351512,198182,259179
405,17708,0,10,20,30,40,50,60,70,80,90
406,17751,0,10,20,30,40,50,60,70,80,90
407,17754,204064,306220,236840,341783,48128,225059,284538,107328,251129,247595
408,17775,0,10,20,30,40,50,60,70,80,90
409,17783,0,10,20,30,40,50,60,70,80,90
